"name";"table_name";"049_helptext__de_new";"049_helptext__en_new"
"destination_table_name";"pkg_csv2sql";"Zieltabelle, in die die Daten aus allen festgelegten Quellen importiert werden.";"Target table into which the data from all specified sources is imported."
"shown_in_menu_as";"cms_tbl_conf";"Zeigt den ersten Eintrag an, unter dem diese Tabelle im Seitenmenü dargestellt wird, sofern ein solcher Eintrag vorhanden ist.";"Displays the first entry under which this table is shown in the side menu, if such an entry exists."
"value_used_in_order_currency";"shop_voucher_use";"Zeigt den Betrag des Gutscheins, der zum Zeitpunkt der Bestellung eingelöst wurde, in der jeweiligen Bestellwährung an.";"Displays the amount of the voucher redeemed at the time of the order in the respective order currency."
"cms_language_id";"shop_order";"Zeigt an, welche Sprache der Benutzer bei der Bestellung verwendet hat. Dies ist insbesondere für mehrsprachige Webseiten relevant, um die Bestellung und die Kommunikation mit dem Kunden in der richtigen Sprache zu ermöglichen.";"Indicates which language the user used when placing the order. This is particularly relevant for multilingual websites to enable the order and communication with the customer in the correct language."
"date_modified";"cms_user";"Zeigt an, wann der Datensatz zuletzt geändert wurde.";"Indicates when the record was last modified."
"mark_as_reported";"pkg_comment";"Zeigt an, ob der Kommentar von einem Benutzer gemeldet wurde.";"Indicates whether the comment has been reported by a user."
"garbage_collect_when_expired";"pkg_cms_result_cache";"Zeigt an, ob der Eintrag automatisch vom System entfernt wird, sobald er nicht mehr gültig ist.";"Indicates whether the entry is automatically removed by the system once it is no longer valid."
"update_stepname";"shop_order_basket";"Zeigt an, in welchem Schritt der Warenkorb zuletzt bearbeitet oder geändert wurde.";"Indicates in which step the shopping cart was last processed or modified."
"pkg_newsletter_confirmation_mlt";"pkg_newsletter_user";"Zeigt alle Anmeldebestätigungen für den Newsletter.";"Shows all newsletter subscription confirmations."
"data_extranet_user_id";"shop_suggest_article_log";"Wurde die Empfehlung von einem angemeldeten Kunden erstellt, wird dieser hier angezeigt.";"If the recommendation was created by a registered customer, it will be displayed here."
"owner_hash";"pkg_cms_result_cache";"Wird zur Identifizierung der gespeicherten Daten verwendet.";"Is used to identify the stored data."
"refresh_token";"cms_media";"Wird vom System gesetzt, wenn ein Bild durch ein anderes ersetzt wird. Ist dieses Token vorhanden, erscheint es als Teil der Bild-URL (zum Beispiel als ?tk=). So wird sichergestellt, dass ein ersetztes Bild immer zuverlässig erkannt und von Browsern nicht aus dem Cache geladen wird.";"Is set by the system when an image is replaced by another. If this token is present, it appears as part of the image URL (for example as ?tk=). This ensures that a replaced image is always reliably recognized and not loaded from the cache by browsers."
"system_order_payment_method_executed";"shop_order";"Wird vom System gesetzt, wenn die Bezahlmethode fehlerfrei ausgeführt werden konnte. Durch diesen Status kann nachvollzogen werden, ob der Zahlungsvorgang ohne Fehler abgeschlossen wurde.";"Is set by the system if the payment method was executed without errors. This status makes it possible to determine whether the payment process was completed without errors."
"action_id";"shop_article_review";"Wird vom System genutzt, um eine bestimmte Aktion wie das Löschen oder Bearbeiten eines Kommentars auszuführen.";"Is used by the system to perform a specific action such as deleting or editing a comment."
"system_order_payment_method_executed_date";"shop_order";"Wird vom System automatisch auf das Datum gesetzt, an dem die Bezahlung angefordert wurde.";"Is automatically set by the system to the date on which the payment was requested."
"url";"pkg_image_hotspot_item_marker";"Wird verwendet, wenn kein Link zu einem internen Zielobjekt gesetzt wurde. Die externe URL verweist in diesem Fall auf eine Adresse außerhalb des eigenen Systems.";"Is used when no link to an internal target object has been set. In this case, the external URL refers to an address outside of the own system."
"seo_pattern";"cms_tpl_page";"Wird verwendet, um die Überschrift (Title) der Seite suchmaschinenoptimiert zu gestalten.

Um alle an dieser Stelle verfügbaren Platzhalter anzeigen zu lassen, tragen Sie [{SHOW}] ein und rufen Sie die Seite erneut auf.";"Is used to optimize the page title for search engines.

To display all available placeholders at this point, enter [{SHOW}] and reload the page."
"systemname";"pkg_shop_listfilter_item";"Wird verwendet, um auf ein bestimmtes Filterobjekt zuzugreifen.";"Is used to access a specific filter object."
"signedup_headline";"pkg_newsletter_module_signup_config";"Wird nach erfolgreicher Anmeldung für das Abonnement angezeigt.";"Displayed after successful registration for the subscription."
"cms_portal_mlt";"shop_shipping_type";"Wird mindestens ein Portal ausgewählt, gilt die Versandkostenart nur für die ausgewählten Portale. Ohne Auswahl eines Portals ist die Versandkostenart automatisch für alle Portale gültig.";"If at least one portal is selected, the shipping method applies only to the selected portals. If no portal is selected, the shipping method automatically applies to all portals."
"data_mail_profile_id";"shop_order_status_code";"Wird keine Vorlage hinterlegt, wird automatisch die Vorlage mit dem Code ""shop-order-status-update"" verwendet.";"If no template is specified, the template with the code ""shop-order-status-update"" will be used automatically."
"cms_language_id";"shop_search_keyword_article";"Wird keine Sprache ausgewählt, gilt der Begriff für alle Sprachen.";"If no language is selected, the term applies to all languages."
"pkg_comment_class_name";"pkg_comment_type";"Wird in diesem Feld keine Klasse angegeben, verwendet das System standardmäßig TdbPkgComment.  
Soll für einen bestimmten Kommentartyp eine Methode aus TdbPkgComment überschrieben werden, ohne eine Erweiterung für pkg_comment anzulegen, können Sie hier die passende Klasse eintragen. So wird die Änderung nur für diesen Kommentartyp übernommen und wirkt sich nicht auf andere Typen aus.";"If no class is specified in this field, the system will use TdbPkgComment by default.
If you want to override a method from TdbPkgComment for a specific comment type without creating an extension for pkg_comment, you can enter the appropriate class here. This way, the change will apply only to this comment type and will not affect other types."
"class_name";"cms_content_box";"Wird in diesem Feld eine Klasse angegeben, sucht das System im Verzeichnis classes/DashboardWidgets/ nach einem Ordner mit dem Namen der entsprechenden Widget-Klasse.  
@deprecated since 6.2.0 - dashboard widgets are not supported anymore";"If a class is specified in this field, the system searches for a folder with the name of the corresponding widget class in the directory classes/DashboardWidgets/.  
@deprecated since 6.2.0 - dashboard widgets are not supported anymore"
"data_extranet_user_mlt";"shop_shipping_type";"Wird hier ein oder mehrere Benutzer ausgewählt, gilt diese Versandkostenart ausschließlich für die ausgewählten Personen.";"If one or more users are selected here, this shipping method applies exclusively to the selected individuals."
"shop_vat_id";"shop_article";"Wird für einen Artikel keine Umsatzsteuergruppe ausgewählt, greift stattdessen diejenige, die in der zugehörigen Warengruppe oder Produktkategorie festgelegt wurde.

Befindet sich der Artikel in mehreren Kategorien oder Warengruppen, wird die jeweils höchste Umsatzsteuergruppe verwendet.

Sollte auch dort keine Umsatzsteuergruppe definiert sein, gilt die im Shop hinterlegte Standardgruppe.";"If no VAT group is selected for an item, the one defined in the associated product group or category will apply instead.

If the item belongs to multiple categories or product groups, the highest applicable VAT group will be used.

If no VAT group is defined there either, the standard group stored in the shop applies."
"cms_language_id";"cms_portal_domains";"Wird eine Sprache ausgewählt, wird die Sprache der Seite bei Aufruf über diese Domain automatisch gesetzt.

Diese Einstellung überschreibt die Auswahl auf Portalebene, jedoch nicht die Einstellung für einzelne Bereiche oder Seiten.";"If a language is selected, the language of the site will automatically be set when accessed via this domain.

This setting overrides the selection at portal level, but not the setting for individual sections or pages."
"group_right_denied_node_id";"data_extranet";"Wird ein Extranet-Benutzer erfolgreich angemeldet, besitzt jedoch nicht die erforderlichen Gruppenzugriffsrechte, erfolgt eine automatische Weiterleitung auf diese Seite.";"If an extranet user successfully logs in but does not have the required group access rights, they will automatically be redirected to this page."
"access_refused_node_id";"data_extranet";"Wird ein Benutzer, der nicht angemeldet ist, auf eine als geschützt markierte Seite zugreifen, erfolgt eine automatische Weiterleitung auf diese Seite.";"If a user who is not logged in attempts to access a page marked as protected, they will be automatically redirected to that page."
"end_shipping_type_chain";"shop_shipping_type";"Wird diese Versandkostenart angewendet, werden alle weiteren, nachfolgenden Versandkostenarten nicht mehr berücksichtigt.";"If this shipping cost type is applied, all subsequent shipping cost types will no longer be taken into account."
"auto_deactivate_on_zero_stock";"shop_stock_message";"Wird diese Option aktiviert, wird der Artikel automatisch deaktiviert, sobald der Lagerbestand auf 0 sinkt.";"If this option is enabled, the item will be automatically deactivated as soon as the stock level drops to 0."
"login_is_email";"data_extranet";"Wird diese Option aktiviert, wird bei der Eingabe des Login-Namens überprüft, ob es sich um eine gültige E-Mail-Adresse handelt.";"If this option is enabled, the entered login name will be checked to determine whether it is a valid email address."
"include_all_newsletter_users";"pkg_newsletter_group";"Wird diese Option aktiviert, werden sämtliche Newsletter-Empfänger automatisch zur Empfängerliste hinzugefügt.";"If this option is enabled, all newsletter recipients will be automatically added to the recipient list."
