"name";"table_name";"049_helptext__de_new";"049_helptext__en_new"
"active_from";"shop_shipping_group";"**Ab diesem Zeitpunkt steht die Versandkostengruppe zur Verfügung.**

Vorher kann sie nicht ausgewählt oder verwendet werden.";"From this point on, the shipping cost group is available.

Before that, it cannot be selected or used."
"action_plugin_list";"cms_master_pagedef";"**Action-Plugins**

Tragen Sie hier die gewünschten Action-Plugins ein, die für diese Seitenvorlage verfügbar sein sollen.

- Öffentliche Methoden der hinterlegten Klassen können mit der Syntax module_fnc[Name]=>Methode aufgerufen werden.
- Module mit identischen Namen im Seitenbereich (Modul-Spots) haben Vorrang gegenüber diesen Plugins.
- Die hier eingetragenen Plugins überschreiben die im Portal hinterlegten Plugins.

Format:
```
name=Klasse
name2=Klasse
...
```";"**Action Plugins**

Enter the desired action plugins here that should be available for this page template.

- Public methods of the assigned classes can be called using the syntax module_fnc[Name]=>Method.
- Modules with identical names in the page area (module spots) take precedence over these plugins.
- The plugins entered here override the plugins stored in the portal.

Format:
```
name=Class
name2=Class
...
```"
"active";"shop_shipping_type";"**Aktiv**

Wichtig: Wenn eine Versandkostenart deaktiviert ist, wird sie niemals angewendet  auch dann nicht, wenn sie laut Zeiteinschränkung eigentlich aktiv sein sollte.

Soll die Versandkostenart zeitlich eingeschränkt werden, muss sie daher auf Aktiv gesetzt sein (JA). Die gewünschte zeitliche Begrenzung kann anschließend über Aktiv ab und Aktiv bis festgelegt werden.";"**Active**

Important: If a shipping cost type is deactivated, it will never be applied  even if it should actually be active according to the time restriction.

If you want to limit the shipping cost type to a certain period, it must therefore be set to ""Active"" (YES). The desired time limitation can then be defined using ""Active from"" and ""Active until."""
"signup_date";"pkg_newsletter_user";"**Anmeldedatum**

Dies ist das Datum, an dem sich der Kunde registriert hat.";"**Registration Date**

This is the date on which the customer registered."
"rating_count";"pkg_shop_article_review_module_shop_article_review_configuration";"**Anzahl Bewertungspunkte**

Legt fest, wie viele Bewertungspunkte ein Benutzer maximal für einen Artikel vergeben kann.

Wenn der Wert unter 1 liegt, ist es für Benutzer nicht möglich, eine Bewertung abzugeben.";"**Number of rating points**

Specifies the maximum number of rating points a user can assign to an article.

If the value is less than 1, users are not able to submit a rating."
"helpful_count";"shop_article_review";"**Anzahl der positiven Bewertungen, die angeben, dass diese Rezension hilfreich ist.**";"Number of positive ratings indicating that this review is helpful."
"comment_on_delete";"pkg_comment_module_config";"**Anzeige bei gelöschtem Kommentar**

Wenn ein Kommentar gelöscht wird, erscheint an seiner Stelle der hier festgelegte Text.

Wird dieses Feld leer gelassen, wird der Kommentar vollständig aus dem System entfernt.";"**Notification for Deleted Comment**

When a comment is deleted, the text specified here will appear in its place.

If this field is left empty, the comment will be completely removed from the system."
"display_column";"cms_tbl_conf";"**Anzeigefeld**

Mit diesem Feld legst du fest, welche Spalte zur Darstellung eines Eintrags verwendet wird, wenn dieser nicht standardmäßig über den Namen identifiziert wird  beispielsweise durch ein Bild oder ein alternatives Feld, wie bei einem erweiterten Lookup.

Gib hier den exakten SQL-Spaltennamen oder einen Feld-Alias an (zum Beispiel feld).

> Hinweis: Verwende nur den Spaltennamen, nicht die Schreibweise tabelle.feld.

Bleibt dieses Feld leer, wird automatisch das Namensfeld verwendet.";"**Display Field**

With this field, you specify which column is used to represent an entry when it is not identified by its name by defaultfor example, by an image or an alternative field, as in an advanced lookup.

Enter the exact SQL column name or a field alias here (for example, field).

> Note: Use only the column name, not the format table.field.

If this field is left blank, the name field will be used automatically."
"exclude_from_shipping_cost_calculation";"shop_article";"**Artikel, die immer versandkostenfrei behandelt werden müssen, wie beispielsweise ein Hörbuch-Download, können hier von der Versandkostenberechnung ausgeschlossen werden.**

Bitte beachten Sie:

- Versandkostenarten, die für den gesamten Warenkorb gelten, betreffen auch Artikel mit dieser Markierung.
- Um sicherzustellen, dass dieser Artikel tatsächlich versandkostenfrei bleibt, passen Sie die Einstellungen Ihrer Versandkostenarten so an, dass sie nicht auf den gesamten Warenkorb angewendet werden.";"Articles that must always be treated as free of shipping costs, such as an audiobook download, can be excluded from shipping cost calculation here.

Please note:

- Shipping methods that apply to the entire shopping cart also affect items with this designation.
- To ensure that this item actually remains free of shipping costs, adjust the settings of your shipping methods so that they are not applied to the entire shopping cart."
"align";"cms_tbl_display_list_fields";"**Ausrichtung**  
Bestimmt, wie der Inhalt einer Zelle angezeigt wird: linksbündig, zentriert oder rechtsbündig. Die möglichen Werte sind: 

- left
- right
- center

Verwenden Sie einen dieser Werte, um die gewünschte Ausrichtung festzulegen.";"**Alignment**  
Determines how the content of a cell is displayed: left-aligned, centered, or right-aligned. The possible values are:

- left
- right
- center

Use one of these values to specify the desired alignment."
